customer_id,name,location,age,gender,loyalty_status
1,Allison Hill,New Kristaborough,56,Female,Bronze
2,Noah Rhodes,Lake Elizabethberg,46,Female,Gold
3,Angie Henderson,Elizabethmouth,32,Male,Silver
4,Daniel Wagner,East Peggyberg,60,Female,Bronze
5,Cristian Santos,Linville,25,Male,Silver
6,Connie Lawrence,Bakertown,38,Male,Silver
7,Abigail Shaffer,Hardingberg,56,Female,Bronze
8,Gina Moore,Fowlershire,36,Female,Silver
9,Gabrielle Davis,North Jefferyborough,40,Male,Bronze
10,Ryan Munoz,Hortonburgh,28,Female,Silver
11,Monica Herrera,Robinsonborough,28,Female,Bronze
12,Jamie Arnold,Lake Barbara,41,Female,Bronze
13,Lisa Hensley,West Lisatown,53,Other,Gold
14,Michele Williams,Peggyhaven,57,Male,Bronze
15,Dylan Miller,Lake Victormouth,41,Other,Bronze
16,Brian Ramirez,Jenkinsstad,20,Female,Silver
17,Holly Wood,Millsmouth,39,Other,Bronze
18,Derek Zuniga,East Stephenstad,19,Female,Gold
19,Lisa Jackson,New Brooke,41,Other,Silver
20,Carla Gray,Jameschester,61,Female,Silver
21,Margaret Hawkins DDS,Jacquelineville,47,Other,Gold
22,Patty Perez,Port Maryland,55,Other,Silver
23,Ethan Adams,New Sarahville,19,Other,Silver
24,Tommy Walter,Bradyside,38,Male,Silver
25,Matthew Foster,Lake Seanshire,50,Other,Silver
26,Judy Baker,Lake Kellychester,29,Male,Gold
27,Justin Baker,East Kimberly,39,Female,Gold
28,Stephanie Ross,Wilsonfort,61,Other,Silver
29,Zachary Hicks,West Tammymouth,42,Female,Silver
30,Anthony Rodriguez,Odonnellfurt,44,Female,Gold
31,Rebecca Henderson,West Kimberlyhaven,59,Other,Gold
32,James Ferrell,Josephview,45,Male,Gold
33,Tricia Valencia,Marychester,33,Other,Silver
34,Nathan Maldonado,North Rachel,32,Female,Silver
35,Debra Davidson,Johnsontown,64,Female,Bronze
36,Jeffrey Chavez,Port Nicholas,61,Other,Gold
37,Sherri Baker,Matthewshire,20,Male,Silver
38,Cassandra Gaines,Allenfurt,54,Male,Gold
39,Elizabeth Fowler,New Deanna,24,Female,Silver
40,Brittany Farmer,Port Sarahchester,38,Female,Gold
41,Paula Moreno,Lake Peter,26,Male,Silver
42,Fred Smith,South Rebecca,56,Other,Bronze
43,Sherry Decker,South Jerry,35,Female,Bronze
44,Anthony Humphrey,New David,21,Male,Gold
45,Angelica Tucker,Cameronview,42,Female,Silver
46,Philip Cannon,West James,31,Other,Silver
47,John Pierce,North Samuelshire,26,Male,Gold
48,Shane Henderson,North Christine,43,Female,Silver
49,Joshua Blair,New Patrickberg,19,Other,Gold
50,Eric Carney,Waltersstad,37,Female,Silver
51,Jessica Holmes,East Denise,45,Other,Gold
52,Danny Morgan,West James,64,Other,Silver
53,Crystal Robinson,Lake Kimberly,24,Male,Gold
54,Mark Perez,Townsendton,61,Other,Silver
55,Shannon Jones,Christopherberg,25,Female,Bronze
56,Michael Lewis,Lake Traciville,64,Other,Silver
57,Timothy Duncan,South Saraville,52,Other,Gold
58,Richard Aguirre,East Justinburgh,31,Male,Bronze
59,Brent Jordan,North Troystad,34,Other,Silver
60,John Daniel,South Craig,53,Other,Bronze
61,Victoria Garcia,South Charlesland,57,Female,Silver
62,Gerald Hensley,Lake Robert,21,Male,Bronze
63,Connor West,Cynthiamouth,19,Male,Gold
64,Donald Wright,East Kent,23,Male,Silver
65,Jessica Callahan,Lake Ashley,59,Other,Silver
66,Amber Kidd,North Theresastad,21,Male,Gold
67,Tracy House,Cooleyside,46,Other,Bronze
68,Carol Tucker,East Aimeeview,35,Other,Gold
69,James Brown,East Catherineside,43,Female,Gold
70,William Baker,New Williamberg,61,Female,Bronze
71,Jordan Henderson,Port Michael,51,Female,Gold
72,Whitney Peters,North Mark,27,Female,Silver
73,Brittney Phillips,North Jessica,53,Female,Silver
74,Lauren Daniels,West Joshua,31,Other,Silver
75,Amy Silva,North Michael,48,Other,Gold
76,Sarah Moore,Stuartfort,32,Male,Silver
77,Angela Lopez,Huntfurt,25,Other,Silver
78,Megan Young,West Gerald,31,Other,Silver
79,Steve Sanchez,Suzanneville,40,Female,Silver
80,Lisa Barnes,Gabrielborough,57,Other,Silver
81,Kelly Donovan,Hamiltonmouth,38,Female,Silver
82,Mike Allen,Carlsonview,33,Male,Gold
83,Michael Evans,Cindyfurt,62,Male,Silver
84,Paul Jones,Gonzalezstad,35,Other,Silver
85,Zachary Ferrell,Rachaelland,64,Male,Bronze
86,Daniel Baker,Jacksonton,41,Other,Gold
87,Shirley Suarez,Brendaport,43,Male,Gold
88,Christopher Bass,Raymondville,42,Female,Gold
89,Lisa Archer,Port Marcus,62,Female,Gold
90,Aimee Montoya,West John,58,Female,Silver
91,Matthew Mcmillan,Lake Nathan,46,Female,Silver
92,Brian Rodriguez,Port Leonard,32,Other,Bronze
93,Denise Jacobs,West Haleymouth,62,Male,Bronze
94,Christina Walters,South Ashley,18,Other,Gold
95,John Whitehead,Rachelside,42,Female,Bronze
96,Anna Henderson,South Justinborough,24,Other,Bronze
97,Aaron Wise,North Ann,26,Male,Gold
98,Deborah Figueroa,New Patriciachester,41,Other,Gold
99,Jessica Smith,Stewartmouth,18,Male,Bronze
100,Stephen Mckee,East Brandon,61,Other,Silver
101,Sandra Aguilar,Jimenezview,25,Male,Bronze
102,Cameron Parker,Wilsonmouth,41,Male,Bronze
103,Rebecca Valencia,New Mark,28,Female,Silver
104,Christine Wright,Youngtown,34,Male,Silver
105,Richard Henson,Andrewshire,25,Female,Gold
106,Marc Moore,South Justinfurt,52,Female,Gold
107,Sharon Cherry,New Samanthaton,52,Female,Bronze
108,Sierra Johnson,Deannaland,50,Other,Silver
109,Evelyn Galvan,Davischester,22,Other,Gold
110,Sharon Cochran,Joshuastad,59,Other,Bronze
111,Richard Rodriguez,Millermouth,56,Other,Silver
112,Shannon Walker,Salazarfurt,58,Male,Bronze
113,Julia Torres,Heathermouth,45,Male,Gold
114,Crystal Johnson,Allisonville,24,Other,Gold
115,Garrett Lin,Sharonville,26,Male,Silver
116,Diana May,East Brandontown,25,Male,Bronze
117,William Herrera,North Victoria,29,Female,Silver
118,Ashley Waller,Perezland,51,Female,Gold
119,Victor Baker,Lake Rachel,50,Female,Gold
120,Jeffrey Chandler,Lisaside,40,Female,Bronze
121,Larry Dixon,Lake Mirandaview,41,Male,Bronze
122,Kenneth Scott,North Brandonport,54,Other,Bronze
123,April Frost,West Markfurt,52,Male,Silver
